"team_api_id","team_name","build_up","chance_cr","defence","home_goals","away_goals","total_goals"
9882,"Sampdoria",130,180,175,190,128,318
9885,"Juventus",115,195,169,307,236,543
9888,"Lecce",100,175,165,68,53,121
9891,"Frosinone",157,156,193,18,17,35
9904,"Hannover 96",144,175,210,218,141,359
9905,"1. FSV Mainz 05",178,185,170,171,149,320
9906,"Atlético Madrid",157,206,160,321,203,524
9908,"FC Utrecht",152,182,159,245,163,408
9910,"RC Celta de Vigo",169,179,169,105,79,184
9911,"VfL Bochum",164,172,172,41,31,72
9912,"DSC Arminia Bielefeld",166,165,138,16,13,29
9925,"Celtic",180,205,200,389,306,695
9927,"Motherwell",172,205,200,228,175,403
9930,"FC Aarau",156,181,150,89,64,153
9931,"FC Basel",170,186,180,344,275,619
9938,"Dundee United",171,205,200,232,206,438
9941,"Toulouse FC",158,165,140,194,145,339
9956,"Grasshopper Club Zürich",164,184,160,234,195,429
9976,"Bari",157,193,161,42,34,76
9984,"KSV Cercle Brugge",145,200,195,119,94,213
9985,"Standard de Liège",161,182,205,199,142,341
9986,"Sporting Charleroi",160,148,210,113,88,201
9987,"KRC Genk",148,182,205,205,143,348
9989,"Lierse SK",171,169,159,69,44,113
9991,"KAA Gent",142,184,166,213,177,390
9993,"Beerschot AC",110,185,210,112,62,174
9994,"Sporting Lokeren",159,154,200,149,130,279
9996,"Royal Excel Mouscron",150,150,140,28,14,42
9997,"Sint-Truidense VV",107,154,150,70,45,115
9998,"RAEC Mons",160,168,138,76,53,129
9999,"KSV Roeselare",125,125,205,36,26,62
